id,name,specializations,methods,consultation_style,experience_years,verified_consultations_count,repeat_client_pct,completion_rate_pct,verification_docs_present,languages,price_min,price_max,availability_stub,sample_insight_snippet
a01,Dr. Mira Anand,"Career|Decision Making|Timing","Vedic|Transit",Practical,12,1842,86,95,TRUE,"English|Hindi",60,150,"2026-08-10T10:00Z|2026-08-11T16:00Z|2026-08-12T09:00Z","A short, practical plan for a career transition focused on timing and priorities."
a02,Rahul Shah,"Career|Vocational Fit|Timing","Western|Transit",Analytical,8,920,72,92,TRUE,English,45,120,"2026-08-09T11:00Z|2026-08-13T14:00Z","Key timing windows for vocational moves and a 3-step action plan."
a03,Saira Mehta,"Relationship|Compatibility|Marriage","Vedic|Composite",Empathetic,10,1198,81,90,TRUE,"English|Marathi",50,130,"2026-08-10T09:00Z|2026-08-14T18:00Z","Compatibility mapping with practical conversation topics for couples."
a04,Arjun Patel,"Finance|Investments|Business","Financial Astrology|Transit",Strategic,14,2100,79,93,TRUE,"English|Gujarati",80,220,"2026-08-11T13:00Z|2026-08-12T15:00Z","Investment timing and risk windows for the next 12 months."
a05,Neha Kapoor,"Career|Promotion|Negotiation","Western|Electional",Direct,6,510,68,88,FALSE,"English|Hindi",40,100,"2026-08-10T12:00Z|2026-08-15T10:00Z","Negotiation strategy framed around your natal indicators."
a06,Pranav Iyer,"Spiritual Growth|Remedies","Vedic|Remedies",Traditional,11,860,83,91,TRUE,English,55,140,"2026-08-09T09:00Z|2026-08-13T11:00Z","Practical spiritual remedies and daily practices."
a07,Alisha Rao,"Education|Exams|Career","Western|Transit",Practical,7,420,65,89,FALSE,"English|Tamil",35,90,"2026-08-12T10:00Z|2026-08-14T09:00Z","Exam timing and confidence-building steps with actionable deadlines."
a08,Manish Desai,"Relationship|Breakup|Counseling","Therapeutic|Western",Empathetic,9,680,77,90,TRUE,"English|Hindi",45,110,"2026-08-11T09:00Z|2026-08-13T16:00Z","Stepwise reconciliation options and emotional coping techniques."
a09,Leena Joshi,"Timing|Relocation|Career","Vedic|Transit",Analytical,13,1450,82,94,TRUE,"English|Gujarati",70,180,"2026-08-10T14:00Z|2026-08-12T09:00Z","Optimal windows for relocation and career transition."
a10,Arnav Khanna,"Business|Startup|Timing","Modern Financial|Transit",Strategic,15,2300,80,95,TRUE,English,90,250,"2026-08-11T09:00Z|2026-08-12T11:00Z","Startup launch timing and fundraising cycles aligned with transits."
a11,Sonia Bhat,"Relationship|Compatibility","Composite|Vedic",Empathetic,5,300,60,87,FALSE,"English|Hindi",30,80,"2026-08-13T09:00Z|2026-08-14T10:00Z","Compatibility highlights and immediate conversation starters."
a12,Karan Mehra,"Career|Decision Making","Western|Electional",Analytical,4,210,55,85,FALSE,English,25,70,"2026-08-15T09:00Z|2026-08-16T11:00Z","A concise approach to weigh career options and timing."
a13,Meera Nair,"Spiritual Growth|Remedies","Vedic|Remedies",Traditional,18,3200,88,96,TRUE,"English|Malayalam",100,300,"2026-08-10T08:00Z|2026-08-12T13:00Z","Long-term remedial plans and spiritual practice guidance."
a14,Vikram Singh,"Finance|Wealth Timing","Financial Astrology|Transit",Strategic,9,760,75,90,TRUE,"English|Hindi",60,160,"2026-08-11T10:00Z|2026-08-13T15:00Z","Short-term wealth timing and risk windows."
a15,Priyanka Ghosh,"Education|Career Advice","Western|Transit",Practical,10,980,80,92,TRUE,"English|Bengali",55,140,"2026-08-10T11:00Z|2026-08-14T09:00Z","Roadmap for education-to-career transition."
a16,Rajiv Verma,"Career|Vocational Fit","Psych-Astrology|Western",Analytical,7,540,66,88,FALSE,"English|Hindi",45,120,"2026-08-12T13:00Z|2026-08-15T09:00Z","Personality-to-career fit mapping and next steps."
a17,Anjali Kaur,"Relationship|Marriage|Timing","Vedic|Composite",Practical,12,1300,84,93,TRUE,"English|Punjabi",65,170,"2026-08-11T14:00Z|2026-08-13T09:00Z","Timing recommendations for weddings and long-term commitments."
a18,Nikhil Rao,"Career|Startups|Funding","Financial|Transit",Strategic,11,870,78,91,TRUE,English,60,160,"2026-08-09T10:00Z|2026-08-13T12:00Z","Funding window identification and investor timing."
a19,Sahana Pillai,"Health|Stress|Coping","Therapeutic|Western",Empathetic,8,490,63,88,FALSE,"English|Malayalam",40,100,"2026-08-10T15:00Z|2026-08-12T16:00Z","Coping strategies and timing to manage stress peaks."
a20,Deepak Joshi,"Timing|Events|Marriage","Vedic|Transit",Analytical,16,2700,90,97,TRUE,"English|Hindi",95,280,"2026-08-10T09:00Z|2026-08-11T16:00Z","Precise timing consultations with muhurta recommendations."
a21,Laila Khan,"Relationship|Counseling|Breakup","Therapeutic|Western",Empathetic,6,360,62,87,FALSE,"English|Urdu",35,95,"2026-08-12T09:00Z|2026-08-14T18:00Z","Emotional reconciliation strategies and communication tips."
a22,Sameer Gupta,"Finance|Business Timing","Transit|Financial",Strategic,13,1580,85,94,TRUE,"English|Hindi",75,200,"2026-08-11T12:00Z|2026-08-13T11:00Z","Business cycle analysis and timing advice."
a23,Rhea Das,"Career|Work-life Balance","Western|Counseling",Empathetic,5,260,59,86,FALSE,"English|Bengali",30,85,"2026-08-13T10:00Z|2026-08-15T09:00Z","Actionable steps to balance career goals and wellbeing."
a24,Harish Nair,"Spiritual|Remedies|Daily Practice","Vedic|Remedies",Traditional,14,1640,84,94,TRUE,"English|Malayalam",70,180,"2026-08-10T09:00Z|2026-08-14T10:00Z","Practical daily rituals and long-term remedial plan."
a25,Divya Sharma,"Career|Interview Prep","Practical|Western",Practical,3,120,50,85,FALSE,English,25,60,"2026-08-12T11:00Z|2026-08-16T09:00Z","Rapid interview prep focused on timing and strengths."
a26,Omar Aziz,"Timing|Relocation|Career","Transit|Vedic",Analytical,9,710,70,89,TRUE,"English|Arabic",50,140,"2026-08-13T09:00Z|2026-08-15T16:00Z","Relocation windows and career impact analysis."
a27,Greta Fernandes,"Education|Study Strategy","Western|Transit",Practical,6,330,61,88,FALSE,"English|Portuguese",35,95,"2026-08-14T10:00Z|2026-08-16T11:00Z","Study planning and timing with confidence checkpoints."
a28,Tomás Pereira,"Career|International Work","Transit|Modern",Analytical,12,1020,76,90,TRUE,"English|Portuguese|Spanish",65,170,"2026-08-11T10:00Z|2026-08-12T14:00Z","International mobility timing and career trajectory."
a29,Elena Ivanova,"Relationship|Compatibility","Composite|Western",Empathetic,10,850,79,92,TRUE,"English|Russian",55,150,"2026-08-09T15:00Z|2026-08-13T10:00Z","Compatibility maps and communication tactics for partners."
a30,Jai Singh,"Career|Freelance Transition","Modern|Transit",Strategic,4,200,54,84,FALSE,"English|Hindi",30,80,"2026-08-12T12:00Z|2026-08-14T09:00Z","Actionable steps for transitioning from employment to freelancing."
a31,Isabella Rossi,"Health|Wellbeing|Stress","Therapeutic|Western",Empathetic,11,940,82,92,TRUE,"English|Italian",60,160,"2026-08-10T13:00Z|2026-08-14T11:00Z","Stress reduction plan with timing considerations."
a32,Mohammed Ali,"Finance|Investment Timing","Financial|Transit",Analytical,8,610,71,88,TRUE,"English|Arabic",55,150,"2026-08-11T09:00Z|2026-08-13T12:00Z","Short-term and mid-term investment windows and caution flags."
a33,Sophia Müller,"Career|Skills & Direction","Western|Psych-Astrology",Analytical,7,460,67,89,FALSE,"English|German",45,120,"2026-08-12T10:00Z|2026-08-15T11:00Z","Clarity on transferable skills and next career steps."
a34,Yuki Tanaka,"Timing|Life Events","Transit|Modern",Analytical,13,1100,81,93,TRUE,"English|Japanese",70,180,"2026-08-10T14:00Z|2026-08-12T16:00Z","Optimal windows for life events and transitional planning."
a35,Fatima Zahra,"Relationship|Family Dynamics","Therapeutic|Vedic",Empathetic,9,720,73,90,FALSE,"French|Arabic",50,140,"2026-08-13T09:00Z|2026-08-14T12:00Z","Conflict de-escalation and family role analysis."
